#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent
,,,,,,,,,,,,
,"
North America
","131,889,132",,"1,695,941",,"127,665,129",+350,"2,528,062","6,095",,,North America
,"
Asia
","221,500,265",,"1,553,662",,"205,673,091",,"14,273,512","14,733",,,Asia
,"
Europe
","253,406,198",,"2,101,824",,"248,754,104",+474,"2,550,270","4,453",,,Europe
,"
South America
","70,200,879",,"1,367,332",,"66,683,585",,"2,149,962","8,953",,,South America
,"
Oceania
","14,895,771",,"33,015",,"14,752,388",,"110,368",31,,,Australia/Oceania
,"
Africa
","12,860,924",,"258,892",,"12,090,808",,"511,224",529,,,Africa
,"

",721,,15,,706,,0,0,,,
27,Chile,"5,384,853",,"64,497                                ",,"5,252,450",,"67,906",7,"50,382,097","19,250,195 ",South America
28,Malaysia,"5,278,406",,"37,348                                ",,"5,233,268",,"7,790",11,"68,580,916","33,181,072 ",Asia
29,Canada,"4,946,090",,"59,034                                ",,"4,881,312",+350,"5,744",99,"66,572,774","38,388,419 ",North America
30,Belgium,"4,861,695",,"34,376                                ",,"4,826,798",+50,521,N/A,"37,454,182","11,668,278 ",Europe
31,Israel,"4,841,772",,"12,707                                ",,"4,798,473",,"30,592",N/A,"41,373,364","9,326,000 ",Asia
32,DPRK,"4,772,813",,74                                ,,"4,772,739",,0,,,"25,990,679 ",Asia
33,Thailand,"4,770,149",,"34,586                                ",,"4,692,636",,"42,927",N/A,"17,273,454","70,078,203 ",Asia
34,Czechia,"4,759,041",,"43,517                                ",,"4,715,206",,318,2,"57,834,241","10,736,784 ",Europe
35,Peru,"4,572,667",,"222,161                                ",,"4,350,506",,0,4,"39,010,194","33,684,208 ",South America
36,Switzerland,"4,453,053",,"14,452                                ",,"4,438,309",,292,N/A,"23,833,472","8,773,637 ",Europe
37,Philippines,"4,140,383",,"66,864                                ",,"4,067,381",,"6,138",N/A,"36,102,746","112,508,994 ",Asia
38,South Africa,"4,076,463",,"102,595                                ",,"3,912,506",,"61,362",192,"26,795,090","60,756,135 ",Africa
