continents,InfectionRate,CaseFatalityRate,RecoveryRate
"South America",10.142136972251805,2.714492804294563,89.35792627573085
Africa,0.7642076644428412,2.2171380831934107,88.49138397189769
All,4.31312895687611,1.6439888359138157,80.43928081681585
"North America",13.717333929871733,1.5707818123807566,65.73302148685121
Europe,14.503796180040194,1.4589023927826466,77.17296954927981
Asia,1.9801738871143102,1.3808861362268716,92.8784083471864
Australia/Oceania,5.088088265465748,0.2373334206953287,48.073713503616425
